248,-0.15,0.01,0,4.14,0.67,8.97
,,,,,,
249,-0.13,0.06,-0.02,4.11,0.5,8.72
,,,,,,
250,-0.12,0.03,-0.02,4.02,0.9,9.19
,,,,,,
251,-0.11,0.02,-0.03,4.4,0.49,8.95
,,,,,,
252,-0.13,0.07,-0.03,4.28,0.7,9.16
,,,,,,
253,-0.1,0.02,-0.01,4.14,0.36,8.93
,,,,,,
254,-0.12,0.01,-0.01,3.98,0.85,8.72
,,,,,,
255,-0.13,0.03,-0.01,4.46,0.17,8.79
,,,,,,
256,-0.14,0.03,-0.01,4.46,0.26,8.95
,,,,,,
257,-0.14,0.01,-0.01,3.96,0.46,8.62
,,,,,,
258,-0.12,0.04,-0.02,4.53,0.74,8.7
,,,,,,
259,-0.13,0.03,-0.02,3.94,1.05,9.21
,,,,,,
260,-0.11,0.04,-0.03,4.17,0.58,8.37
,,,,,,
261,-0.12,0.04,-0.03,4.52,0.3,8.49
,,,,,,
262,-0.12,0.02,-0.01,4.5,0.17,8.81
,,,,,,
263,-0.12,0.05,0.01,3.94,0.72,8.92
,,,,,,
264,-0.12,0.04,0.02,4.47,0.63,8.7
,,,,,,
265,-0.13,0.01,0.01,3.96,0.6,8.9
,,,,,,
266,-0.12,0.01,0.01,4.62,0.53,8.54
,,,,,,
267,-0.13,0.02,0,4.07,1.26,8.63
,,,,,,
268,-0.12,0.02,0,3.99,0.08,8.2
,,,,,,
269,-0.13,0.02,-0.01,4.23,1.04,8.2
,,,,,,
270,-0.12,0.08,-0.02,4.14,0.27,8.89
,,,,,,
271,-0.11,0.01,-0.03,4.38,0.15,8.22
,,,,,,
272,-0.11,0.05,-0.01,4.49,0.32,7.93
,,,,,,
273,-0.12,0.06,-0.01,4.03,0.87,8.94
,,,,,,
274,-0.12,0.01,0,4.67,0.39,9.28
,,,,,,
275,-0.12,0.02,0,4.14,0.75,8.77
,,,,,,
276,-0.13,0.05,0,4.87,0.39,8.15
,,,,,,
277,-0.14,0.02,-0.01,3.69,1.3,9.44
,,,,,,
278,-0.14,0.01,-0.01,4.72,0.43,8.15
,,,,,,
279,-0.13,0.06,-0.02,4.18,0.64,9.39
,,,,,,
280,-0.11,-0.01,-0.02,4.35,0.03,8.42
,,,,,,
281,-0.13,0.03,-0.02,4.59,0.5,8.44
,,,,,,
282,-0.12,0.05,-0.02,4.48,0.27,8.6
,,,,,,
283,-0.12,0,-0.01,4.51,0.39,8.74
,,,,,,
284,-0.14,0.01,-0.01,3.83,0.33,8.49
,,,,,,
285,-0.14,0.04,0,4.21,0.19,7.78
,,,,,,
286,-0.14,0.04,-0.01,4.27,0.75,8.68
,,,,,,
287,-0.14,0.02,-0.01,4.24,0.89,8.13
,,,,,,
288,-0.12,0.04,-0.02,4.15,0.44,9.02
,,,,,,
289,-0.12,0.01,-0.02,4.48,0.92,8.72
,,,,,,
290,-0.12,0.01,-0.03,3.98,0.9,8.5
,,,,,,
291,-0.12,0.03,-0.02,4.48,0.2,8.39
,,,,,,
292,-0.12,0.03,-0.03,4.42,1.12,8.63
,,,,,,
293,-0.11,0,-0.02,3.85,0.29,8.89
,,,,,,
294,-0.12,0.04,-0.02,4.64,1.09,8.43
,,,,,,
295,-0.12,0.01,-0.02,3.9,0.56,8.79
,,,,,,
296,-0.12,0.05,-0.02,4.7,1.05,8.31
,,,,,,
297,-0.13,0.02,-0.01,3.84,0.42,8.65
,,,,,,
298,-0.13,0.03,-0.01,4.57,0.91,8.39
,,,,,,
299,-0.13,0.06,-0.02,3.95,0.17,8.74
,,,,,,
300,-0.11,0.03,-0.02,4.39,0.49,9.04
,,,,,,
301,-0.11,0.03,-0.02,3.99,0.05,8.6
,,,,,,
302,-0.11,0.03,-0.01,4.17,0.18,8.49
,,,,,,
303,-0.12,0.03,0,3.94,0.01,8.47
,,,,,,
304,-0.12,0.04,-0.01,4.53,1.06,8.38
,,,,,,
305,-0.11,0,-0.02,3.94,0.39,8.27
,,,,,,
306,-0.14,0.02,-0.02,3.97,0.3,8.23
,,,,,,
307,-0.14,0.07,-0.02,4.19,0.45,8.48
,,,,,,
308,-0.13,0.03,-0.02,4,0.12,8.89
,,,,,,
309,-0.1,-0.01,-0.02,4.3,0.11,8.4
,,,,,,
310,-0.12,0.06,-0.02,4.53,0.51,8.19
,,,,,,
311,-0.11,0.03,-0.01,3.85,0.54,8.99
,,,,,,
312,-0.13,0.03,-0.01,4.57,0.92,8.5
,,,,,,
313,-0.12,0.04,-0.01,4.05,0.88,8.74
,,,,,,
314,-0.13,0.02,-0.02,4.09,0.71,8.27
,,,,,,
315,-0.14,0.05,-0.01,4.04,1.05,8.69
,,,,,,
316,-0.13,0.02,-0.02,3.81,0.54,9
,,,,,,
317,-0.12,0.02,-0.03,4.05,0.93,8.52
,,,,,,
318,-0.13,0.02,-0.03,3.88,0.42,8.57
,,,,,,
319,-0.11,0.01,-0.02,3.8,0.22,8.69
,,,,,,
320,-0.11,0.04,-0.02,4.39,0.42,8.55
,,,,,,
321,-0.11,0.04,-0.01,3.98,0.16,8.4
,,,,,,
